price,bedrooms,baths,area
1899900,3.0,3.0,2331
899000,3.0,3.0,2005
1100000,3.0,2.0,1741
1099000,4.0,3.0,1877
639900,3.0,3.0,1454
1050000,6.0,4.0,2162
2550000,6.0,6.0,3400
1350000,4.0,2.5,2252
699999,4.0,1.5,1800
1215000,4.0,3.5,2000
850000,2.0,3.0,1800
719000,2.0,2.0,1588
799000,2.0,2.0,1014
12500000,4.0,3.5,4095
1895000,14.0,5.0,5595
9475000,3.0,3.5,2553
1100000,6.0,3.0,4410
1995000,9.0,6.0,3647
13900000,3.0,2.5,3657
1590000,2.0,2.0,1291
769000,3.0,1.5,1325
3475000,2.0,2.5,1745
2800000,2.0,2.0,1268
1695000,2.0,2.0,1041
1350000,2.0,2.0,1041
7500000,2.0,2.0,2798
799000,2.0,1.5,1050
5055000,2.0,2.5,1755
4425000,2.0,2.5,1920
4750000,3.0,3.0,1989
1999999,16.0,6.0,5973
2100000,8.0,3.0,3780
739000,2.0,2.0,1197
739000,2.0,2.0,1190
769000,2.0,2.0,1248
1390000,3.0,2.0,1430
1255000,3.0,3.0,2240
1258000,2.0,3.5,2242
998899,4.0,3.0,1996
997899,4.0,3.0,1950
995099,3.0,3.0,1785
