Price (USD),Address,City,Date,Beds,Baths,Area (SQFT)
1199999,"3517 S Pacific Ave, San Pedro, CA 90731",Los-Angeles,15/12/2023,4,3,2967
1199000,"3933 S Bronson Ave, Los Angeles, CA 90008",Los-Angeles,15/12/2023,3,3,2016
2000000,"3435 Tilden Ave, Los Angeles, CA 90034",Los-Angeles,15/12/2023,4,2,1925
630000,"1644 W 106th St, Los Angeles, CA 90047",Los-Angeles,15/12/2023,3,2,1360
3950000,"11344 Hatteras St, North Hollywood, CA 91601",Los-Angeles,15/12/2023,19,17,7700
1550000,"1630 W 204th St, Torrance, CA 90501",Los-Angeles,15/12/2023,19,10,2802
875000,"3921 Don Diablo Dr, Los Angeles, CA 90008",Los-Angeles,15/12/2023,2,2,1805
615000,"1745 Camino Palmero St #104, Los Angeles, CA 90046",Los-Angeles,15/12/2023,2,2,1129
825000,"2535 W 5th St, Los Angeles, CA 90057",Los-Angeles,15/12/2023,2,2,1095
1250000,"2527 W 5th St, Los Angeles, CA 90057",Los-Angeles,15/12/2023,4,4,3390
780000,"14116 Terra Bella St, Arleta, CA 91331",Los-Angeles,15/12/2023,3,2,1221
850000,"8115 Darby Ave, Reseda, CA 91335",Los-Angeles,15/12/2023,3,2,1488
2300000,"201 Ocean Ave Unit 1104P, Santa Monica, CA 90402",Los-Angeles,15/12/2023,2,3,1554
1175000,"1110 N Avenue 54, Los Angeles, CA 90042",Los-Angeles,15/12/2023,2,2,1048
799000,"1230 W 88th St, Los Angeles, CA 90044",Los-Angeles,15/12/2023,5,2,1378
1375000,"12918 Bloomfield St #2, Studio City, CA 91604",Los-Angeles,15/12/2023,3,2.5,1867
2190000,"24 20th Ave, Venice, CA 90291",Los-Angeles,15/12/2023,3,3.5,1755
2399000,"3608 Maplewood Ave, Los Angeles, CA 90066",Los-Angeles,15/12/2023,4,2,2083
749000,"1225 E VERNON Ave, Los Angeles, CA 90011",Los-Angeles,15/12/2023,4,3,1387
798000,"9120 Dalton Ave, Los Angeles, CA 90047",Los-Angeles,15/12/2023,5,2,1988
705000,"9846 Monogram Ave, Northridge, CA 91343",Los-Angeles,15/12/2023,4,2,1371
2650000,"609 Broadway St, Venice, CA 90291",Los-Angeles,15/12/2023,4,3.5,3218
2525000,"611 Broadway St, Venice, CA 90291",Los-Angeles,15/12/2023,3,2.5,2916
5449000,"960 Indiana Ave, Venice, CA 90291",Los-Angeles,15/12/2023,6,6.5,5009
4500000,"6708 Willoughby Ave, Los Angeles, CA 90038",Los-Angeles,15/12/2023,10,9,8784
750000,"13111 Corcoran St, San Fernando, CA 91340",Los-Angeles,15/12/2023,3,2,1372
1175000,"6261 Beeman Ave, North Hollywood, CA 91606",Los-Angeles,15/12/2023,3,3,1677
615000,"10307 Stanford Ave, Los Angeles, CA 90002",Los-Angeles,15/12/2023,4,2,1390
675000,"2275 W 25th St W #171, San Pedro, CA 90732",Los-Angeles,15/12/2023,2,2,1464
875000,"7761 Loma Verde Ave, Canoga Park, CA 91304",Los-Angeles,15/12/2023,3,2,1216
934900,"14341 Martha St, Van Nuys, CA 91401",Los-Angeles,15/12/2023,4,2,1667
1299900,"6254 Tampa Ave, Tarzana, CA 91335",Los-Angeles,15/12/2023,4,3,2138
999000,"19918 Acre St, Northridge, CA 91324",Los-Angeles,15/12/2023,4,2,1875
1000000,"2410 8th Ave, Los Angeles, CA 90018",Los-Angeles,15/12/2023,5,3,2531
1100000,"126 N Western Ave, San Pedro, CA 90732",Los-Angeles,15/12/2023,9,8,4711
769000,"10567 Vassar Ave, Chatsworth, CA 91311",Los-Angeles,15/12/2023,3,2,1440
1675000,"10126 Empyrean Way #304, Los Angeles, CA 90067",Los-Angeles,15/12/2023,2,2.5,1739
5300000,"2463 Sawtelle Blvd, Los Angeles, CA 90064",Los-Angeles,15/12/2023,14,17,8952
875000,"7250 Franklin Ave #409, Los Angeles, CA 90046",Los-Angeles,15/12/2023,2,2,1393
849900,"8828 Pershing Dr #320, Playa Del Rey, CA 90293",Los-Angeles,15/12/2023,2,2,1700
1429000,"4611 Coolidge Ave, Culver City, CA 90230",Los-Angeles,15/12/2023,3,2,1212
765000,"14655 W Sara Ln, Panorama City, CA 91402",Los-Angeles,15/12/2023,3,3,1739
2750000,"2314 Clement Ave, Venice, CA 90291",Los-Angeles,15/12/2023,3,3,2286
824999,"11407 Gaviota Ave, Granada Hills, CA 91344",Los-Angeles,15/12/2023,3,2,1228
1649000,"20542 Hartland St, Winnetka, CA 91306",Los-Angeles,15/12/2023,10,6,4800
610000,"5420 Sylmar Ave #213, Sherman Oaks, CA 91401",Los-Angeles,15/12/2023,2,2,1172
1199900,"17406 Hiawatha St, Granada Hills, CA 91344",Los-Angeles,15/12/2023,4,3,2446
1395000,"6220 Pacific Ave #303, Playa Del Rey, CA 90293",Los-Angeles,15/12/2023,2,2,1359
1498000,"6014 Farmdale Ave, North Hollywood, CA 91606",Los-Angeles,15/12/2023,6,4.5,2370
899999,"19522 Eagle Ridge Ln, Northridge, CA 91326",Los-Angeles,15/12/2023,3,3,1929
1374900,"8161 Encino Ave, Northridge, CA 91325",Los-Angeles,15/12/2023,4,3,1708
1699000,"2120 N Beverly Glen Blvd, Los Angeles, CA 90077",Los-Angeles,15/12/2023,2,2,2008
2699000,"803 N Kingsley Dr, Los Angeles, CA 90029",Los-Angeles,15/12/2023,14,16,5390
795000,"9100 S Hobart Blvd, Los Angeles, CA 90047",Los-Angeles,15/12/2023,3,2,1260
1699000,"3853 Tilden Ave, Culver City, CA 90232",Los-Angeles,15/12/2023,5,4,2593
1449000,"19120 Salt Lake Pl, Porter Ranch, CA 91326",Los-Angeles,15/12/2023,5,3,2485
719900,"17957 Hemmingway St, Reseda, CA 91335",Los-Angeles,15/12/2023,4,2,1200
1295000,"1050 N Edinburgh Ave #112, West Hollywood, CA 90046",Los-Angeles,15/12/2023,3,3.5,1920
1695000,"1350 1/2 N Fairfax Ave, West Hollywood, CA 90046",Los-Angeles,15/12/2023,3,3.5,2105
1189000,"1123 S Shenandoah St #203, Los Angeles, CA 90035",Los-Angeles,15/12/2023,3,2.5,1453
4999999,"12752 Rose Ave, Los Angeles, CA 90066",Los-Angeles,15/12/2023,7,7.5,4005
1395000,"19114 Jovan St, Tarzana, CA 91335",Los-Angeles,15/12/2023,4,3,1898
850000,"6614 Easton St, Los Angeles, CA 90022",Los-Angeles,15/12/2023,3,3,1507
2375000,"1846 N Wilton Pl, Los Angeles, CA 90028",Los-Angeles,15/12/2023,8,4.5,3150
549000,"21333 Lassen St Unit 2D, Chatsworth, CA 91311",Los-Angeles,15/12/2023,2,2,1149
689900,"7114--7116 Miramonte Blvd, Los Angeles, CA 90001",Los-Angeles,15/12/2023,3,3,1164
1380000,"1630 W 206th St, Torrance, CA 90501",Los-Angeles,15/12/2023,6,3,2180
1675000,"1522 N Hoover St, Los Angeles, CA 90027",Los-Angeles,15/12/2023,3,3,1229
1349000,"1351 N Mccadden Pl, Los Angeles, CA 90028",Los-Angeles,15/12/2023,4,2,1742
1349900,"12721 Greene Ave, Los Angeles, CA 90066",Los-Angeles,15/12/2023,3,2,1996
849900,"9130 S Wilton Pl, Los Angeles, CA 90047",Los-Angeles,15/12/2023,4,2,1587
1329000,"5831 Seawalk Dr #231, Playa Vista, CA 90094",Los-Angeles,15/12/2023,2,2.5,1805
1950000,"10430 Wilshire Blvd #806, Los Angeles, CA 90024",Los-Angeles,15/12/2023,2,2.5,2324
965000,"654 N Virgil Ave #313, Los Angeles, CA 90004",Los-Angeles,15/12/2023,3,2.5,1740
899000,"940 W 6th St, San Pedro, CA 90731",Los-Angeles,15/12/2023,3,2,1786
799000,"10650 El Dorado Ave, Pacoima, CA 91331",Los-Angeles,15/12/2023,5,3,1460
1190000,"10327 Missouri Ave #305, Los Angeles, CA 90025",Los-Angeles,15/12/2023,2,2.5,1669
999500,"857 W 85th St, Los Angeles, CA 90044",Los-Angeles,15/12/2023,6,4,2516
899000,"871 Crenshaw Blvd #103, Los Angeles, CA 90005",Los-Angeles,15/12/2023,3,2,1530
999500,"635 W 82nd St, Los Angeles, CA 90044",Los-Angeles,15/12/2023,9,4,3116
639000,"1236 Exposition Blvd, Los Angeles, CA 90007",Los-Angeles,15/12/2023,2,4,1000
719000,"1363 W 38th St, Los Angeles, CA 90062",Los-Angeles,15/12/2023,5,3,1768
850000,"10429 Haas Ave, Los Angeles, CA 90047",Los-Angeles,15/12/2023,4,2,1678
988000,"725 Coronel St, Los Angeles, CA 90012",Los-Angeles,15/12/2023,6,3,1540
429000,"7301 Lennox Ave Unit B3, Van Nuys, CA 91405",Los-Angeles,15/12/2023,2,2,1079
23350000,"1200 Club View Dr #20, Los Angeles, CA 90024",Los-Angeles,15/12/2023,4,6,8215
2750000,"1200 Club View Dr Unit 4NW, Los Angeles, CA 90024",Los-Angeles,15/12/2023,2,2,1830
2599000,"12541 Mitchell Ave, Los Angeles, CA 90066",Los-Angeles,15/12/2023,4,4.5,3115
1549000,"3476 Troy Dr, Los Angeles, CA 90068",Los-Angeles,15/12/2023,3,2,1378
982888,"4626 Verdugo Rd, Los Angeles, CA 90065",Los-Angeles,15/12/2023,6,3,2343
499000,"22100 Burbank Blvd Unit 201A, Woodland Hills, CA 91367",Los-Angeles,15/12/2023,2,2,883
399950,"7045 Woodley Ave #113, Lake Balboa, CA 91406",Los-Angeles,15/12/2023,2,2,916
899000,"470 W 15th St, San Pedro, CA 90731",Los-Angeles,15/12/2023,4,3,2088
749000,"8505 Gulana Ave #4101, Playa Del Rey, CA 90293",Los-Angeles,15/12/2023,2,2,1004
5495000,"8126 W 4th St, Los Angeles, CA 90048",Los-Angeles,15/12/2023,5,5.5,5520
1970000,"1938 Holmby Ave, Los Angeles, CA 90025",Los-Angeles,15/12/2023,4,4,2490
1130000,"12609 Solvang St, North Hollywood, CA 91605",Los-Angeles,15/12/2023,3,3,1800
1199000,"931 S Palos Verdes St, San Pedro, CA 90731",Los-Angeles,15/12/2023,6,4,2438
2575000,"4719 Tobias Ave, Sherman Oaks, CA 91403",Los-Angeles,15/12/2023,5,5.5,3462
500000,"8740 Willis Ave #7, Panorama City, CA 91402",Los-Angeles,15/12/2023,3,2.5,1446
5995000,"1050 Iliff St, Pacific Palisades, CA 90272",Los-Angeles,15/12/2023,5,5.5,4084
2995000,"13425 Java Dr, Beverly Hills, CA 90210",Los-Angeles,15/12/2023,3,3,3069
1295000,"1135 Elden Ave, Los Angeles, CA 90006",Los-Angeles,15/12/2023,4,3,2333
898888,"16108 Napa St, North Hills, CA 91343",Los-Angeles,15/12/2023,3,2,1876
1099000,"4706 Sanford Dr, Culver City, CA 90230",Los-Angeles,15/12/2023,3,2,1368
2095000,"921 S Mansfield Ave, Los Angeles, CA 90036",Los-Angeles,15/12/2023,6,4,3960
1729000,"1662 S Stanley Ave, Los Angeles, CA 90019",Los-Angeles,15/12/2023,3,3,1714
1499000,"704 N Dillon St, Los Angeles, CA 90026",Los-Angeles,15/12/2023,5,2,1961
1575000,"3003 Vineyard Ave, Los Angeles, CA 90016",Los-Angeles,15/12/2023,7,7,2661
899000,"8543 Oso Ave, Winnetka, CA 91306",Los-Angeles,15/12/2023,3,2,1435
650000,"10969 Grape St, Los Angeles, CA 90059",Los-Angeles,15/12/2023,5,2,1254
1499000,"2402 Malabar St, Los Angeles, CA 90033",Los-Angeles,15/12/2023,12,8,6944
729000,"22753 Gault St, West Hills, CA 91307",Los-Angeles,15/12/2023,4,2,1896
2350000,"6828 Miramonte Blvd, Los Angeles, CA 90001",Los-Angeles,15/12/2023,20,11,6153
875000,"1615 Bardale Ave, San Pedro, CA 90731",Los-Angeles,15/12/2023,4,2,1430
3700000,"20144 W Marlow Way, Porter Ranch, CA 91326",Los-Angeles,15/12/2023,5,5.5,4998
990000,"1770 W 245th St, Torrance, CA 90501",Los-Angeles,15/12/2023,3,2,1278
3880000,"12948 Woodbridge St, Studio City, CA 91604",Los-Angeles,15/12/2023,5,5.5,4700
1725000,"12059 Juniette St, Culver City, CA 90230",Los-Angeles,15/12/2023,3,2,1371
395000,"1670 E 43rd St, Los Angeles, CA 90011",Los-Angeles,15/12/2023,2,2,748
720000,"1348 E 21st St, Los Angeles, CA 90011",Los-Angeles,15/12/2023,3,3,2240
1150000,"1211 S Shenandoah St #203, Los Angeles, CA 90035",Los-Angeles,15/12/2023,2,2.5,1378
1799000,"2022 Glendon Ave, Los Angeles, CA 90025",Los-Angeles,15/12/2023,3,2,1455
895000,"13207 W Lumina Way, Van Nuys, CA 91401",Los-Angeles,15/12/2023,3,4,1930
1795000,"5454 Hermitage Ave, Valley Village, CA 91607",Los-Angeles,15/12/2023,8,4,3990
1595000,"2437 Houston St, Los Angeles, CA 90033",Los-Angeles,15/12/2023,8,6,3170
1595000,"926 E 57th St, Los Angeles, CA 90011",Los-Angeles,15/12/2023,11,6,3823
3080000,"11732 W Abbey Ln, Porter Ranch, CA 91326",Los-Angeles,15/12/2023,5,5.5,5076
2495000,"2460 Achilles Dr, Los Angeles, CA 90046",Los-Angeles,15/12/2023,5,3,3344
1265000,"128 N Swall Dr #301, Los Angeles, CA 90048",Los-Angeles,15/12/2023,2,3,1585
4349000,"5136 Nagle Ave, Sherman Oaks, CA 91423",Los-Angeles,15/12/2023,6,7,5712
879000,"13331 Wentworth St, Arleta, CA 91331",Los-Angeles,15/12/2023,4,2,1354
719500,"15021 Core Ln, North Hills, CA 91343",Los-Angeles,15/12/2023,4,3,1789
1059999,"21007 Covello St, Canoga Park, CA 91303",Los-Angeles,15/12/2023,4,3,1392
850000,"10515 Chandler Blvd, North Hollywood, CA 91601",Los-Angeles,15/12/2023,3,2.5,1496
850000,"969 Hilgard Ave #607, Los Angeles, CA 90024",Los-Angeles,15/12/2023,2,1.5,1029
1099000,"100 S Doheny Dr #220, Los Angeles, CA 90048",Los-Angeles,15/12/2023,2,2,1197
3995000,"13044 Hartsook St, Sherman Oaks, CA 91423",Los-Angeles,15/12/2023,5,5.5,3900
